node_label,value
92031,-0.0007043689
92039,-0.0007468084
92069,-0.00066638796
92079,-0.0007048846
92140,-0.0006244454
92192,-0.00069302804
92216,-0.0006860674
92243,-0.00079829746
92246,-0.0006416087
92254,-0.0007425672
92279,-0.0006227647
92289,-0.00066537387
92313,-0.00065471116
92314,-0.0006758977
92351,-0.00058532285
92356,-0.0007110765
92368,-0.0005842674
92404,-0.000605567
92405,-0.0005915831
92420,-0.00069012074
92421,-0.00069348025
92499,-0.00070703804
92513,-0.00063871854
92529,-0.00062145793
92534,-0.0006629396
92561,-0.00064241467
92619,-0.00067934254
92621,-0.0007361539
92740,-0.0006752678
